,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-2081406.105458,-2400000.0,-7680000.0,-3465193.370166,-9353006.681514
Tax Rate For Calcs,0.231267,0.24,0.24,0.216575,0.252784
Normalized EBITDA,1669000000.0,1738000000.0,1694000000.0,1523000000.0,1544000000.0
Total Unusual Items,-9000000.0,-10000000.0,-32000000.0,-16000000.0,-37000000.0
Total Unusual Items Excluding Goodwill,-9000000.0,-10000000.0,-32000000.0,-16000000.0,-37000000.0
Net Income From Continuing Operation Net Minority Interest,816000000.0,851000000.0,797000000.0,698000000.0,657000000.0
Reconciled Depreciation,387000000.0,395000000.0,389000000.0,389000000.0,386000000.0
Reconciled Cost Of Revenue,1298000000.0,1433000000.0,1450000000.0,1411000000.0,1383000000.0
EBITDA,1660000000.0,1728000000.0,1662000000.0,1507000000.0,1507000000.0
EBIT,1273000000.0,1333000000.0,1273000000.0,1118000000.0,1121000000.0
Net Interest Income,-164000000.0,-170000000.0,-173000000.0,-177000000.0,-184000000.0
Interest Expense,192000000.0,201000000.0,206000000.0,213000000.0,223000000.0
Interest Income,28000000.0,31000000.0,33000000.0,36000000.0,39000000.0
Normalized Income,822918593.894542,858600000.0,821320000.0,710534806.629834,684646993.318486
Net Income From Continuing And Discontinued Operation,816000000.0,851000000.0,797000000.0,698000000.0,657000000.0
Total Expenses,1824000000.0,1955000000.0,1976000000.0,1937000000.0,1893000000.0
Rent Expense Supplemental,23000000.0,20000000.0,21000000.0,22000000.0,30000000.0
Total Operating Income As Reported,1174000000.0,1297000000.0,1221000000.0,1077000000.0,1103000000.0
Diluted Average Shares,574000000.0,575000000.0,577000000.0,577000000.0,577000000.0
Basic Average Shares,572000000.0,573000000.0,574000000.0,574000000.0,574000000.0
Diluted EPS,1.42,1.48,1.38,1.21,1.14
Basic EPS,1.43,1.49,1.39,1.22,1.15
Diluted NI Availto Com Stockholders,816000000.0,851000000.0,797000000.0,698000000.0,657000000.0
Net Income Common Stockholders,816000000.0,851000000.0,797000000.0,698000000.0,657000000.0
Net Income,816000000.0,851000000.0,797000000.0,698000000.0,657000000.0
Minority Interests,-15000000.0,-14000000.0,-15000000.0,-11000000.0,-14000000.0
Net Income Including Noncontrolling Interests,831000000.0,865000000.0,812000000.0,709000000.0,671000000.0
Net Income Continuous Operations,831000000.0,865000000.0,812000000.0,709000000.0,671000000.0
Tax Provision,250000000.0,267000000.0,255000000.0,196000000.0,227000000.0
Pretax Income,1081000000.0,1132000000.0,1067000000.0,905000000.0,898000000.0
Other Income Expense,62000000.0,-5000000.0,-13000000.0,-11000000.0,-58000000.0
Other Non Operating Income Expenses,71000000.0,5000000.0,19000000.0,5000000.0,-21000000.0
Special Income Charges,-9000000.0,-10000000.0,-32000000.0,-16000000.0,-37000000.0
Restructuring And Mergern Acquisition,9000000.0,10000000.0,32000000.0,16000000.0,37000000.0
Net Non Operating Interest Income Expense,-164000000.0,-170000000.0,-173000000.0,-177000000.0,-184000000.0
Interest Expense Non Operating,192000000.0,201000000.0,206000000.0,213000000.0,223000000.0
Interest Income Non Operating,28000000.0,31000000.0,33000000.0,36000000.0,39000000.0
Operating Income,1183000000.0,1307000000.0,1253000000.0,1093000000.0,1140000000.0
Operating Expense,526000000.0,522000000.0,526000000.0,526000000.0,510000000.0
Depreciation Amortization Depletion Income Statement,387000000.0,395000000.0,389000000.0,389000000.0,386000000.0
Depreciation And Amortization In Income Statement,387000000.0,395000000.0,389000000.0,389000000.0,386000000.0
Selling General And Administration,139000000.0,127000000.0,137000000.0,137000000.0,124000000.0
General And Administrative Expense,139000000.0,127000000.0,137000000.0,137000000.0,124000000.0
Other Gand A,116000000.0,107000000.0,116000000.0,115000000.0,94000000.0
Rent And Landing Fees,23000000.0,20000000.0,21000000.0,22000000.0,30000000.0
Gross Profit,1709000000.0,1829000000.0,1779000000.0,1619000000.0,1650000000.0
Cost Of Revenue,1298000000.0,1433000000.0,1450000000.0,1411000000.0,1383000000.0
Total Revenue,3007000000.0,3262000000.0,3229000000.0,3030000000.0,3033000000.0
Operating Revenue,3007000000.0,3262000000.0,3229000000.0,3030000000.0,3033000000.0
