,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,4208000000.0,3989000000.0,2846000000.0,3900000000.0,3309000000.0,,
Repurchase Of Capital Stock,-1250000000.0,-700000000.0,-1351000000.0,-2510000000.0,-1939000000.0,,
Repayment Of Debt,-1803000000.0,-3825000000.0,-1048000000.0,-3669000000.0,-1085000000.0,,
Issuance Of Debt,3231000000.0,3357000000.0,0.0,2810000000.0,4090000000.0,,
Capital Expenditure,-1200000000.0,-996000000.0,-859000000.0,-925000000.0,-993000000.0,,
End Cash Position,11171000000.0,9556000000.0,9116000000.0,10230000000.0,12156000000.0,,
Beginning Cash Position,9556000000.0,9116000000.0,10230000000.0,12156000000.0,9482000000.0,,
Effect Of Exchange Rate Changes,-20000000.0,134000000.0,122000000.0,-260000000.0,116000000.0,,
Changes In Cash,1635000000.0,306000000.0,-1236000000.0,-1666000000.0,2558000000.0,,
Financing Cash Flow,-2239000000.0,-3616000000.0,-4215000000.0,-5571000000.0,-634000000.0,,
Cash Flow From Continuing Financing Activities,-2237000000.0,-3615000000.0,-4216000000.0,-5570000000.0,-634000000.0,,
Net Other Financing Charges,-2000000.0,,,,,,
Proceeds From Stock Option Exercised,134000000.0,106000000.0,616000000.0,240000000.0,745000000.0,,
Cash Dividends Paid,-2549000000.0,-2553000000.0,-2433000000.0,-2441000000.0,-2445000000.0,,
Net Common Stock Issuance,-1250000000.0,-700000000.0,-1351000000.0,-2510000000.0,-1939000000.0,,
Common Stock Payments,-1250000000.0,-700000000.0,-1351000000.0,-2510000000.0,-1939000000.0,,
Net Issuance Payments Of Debt,1428000000.0,-468000000.0,-1048000000.0,-859000000.0,3005000000.0,,
Net Short Term Debt Issuance,1431000000.0,-1211000000.0,-1048000000.0,-446000000.0,3075000000.0,,
Short Term Debt Payments,-1800000000.0,-3326000000.0,-1048000000.0,-2261000000.0,-1015000000.0,,
Short Term Debt Issuance,3231000000.0,2115000000.0,0.0,1815000000.0,4090000000.0,,
Net Long Term Debt Issuance,-3000000.0,743000000.0,0.0,-413000000.0,-70000000.0,,
Long Term Debt Payments,-3000000.0,-499000000.0,0.0,-1408000000.0,-70000000.0,,
Long Term Debt Issuance,,1242000000.0,0.0,,,1599000000.0,1344000000.0
Investing Cash Flow,-1535000000.0,-1063000000.0,-726000000.0,-921000000.0,-1108000000.0,,
Cash Flow From Continuing Investing Activities,-1535000000.0,-1061000000.0,-727000000.0,-922000000.0,-1108000000.0,,
Net Other Investing Changes,-330000000.0,-67000000.0,138000000.0,4000000.0,-109000000.0,,
Net Business Purchase And Sale,-5000000.0,0.0,-5000000.0,0.0,-6000000.0,,
Purchase Of Business,-5000000.0,0.0,-5000000.0,0.0,-6000000.0,,
Capital Expenditure Reported,-1200000000.0,-996000000.0,-859000000.0,-925000000.0,-993000000.0,,
Operating Cash Flow,5408000000.0,4985000000.0,3705000000.0,4825000000.0,4302000000.0,,
Cash Flow From Continuing Operating Activities,5409000000.0,4987000000.0,3704000000.0,4825000000.0,4302000000.0,,
Change In Working Capital,40000000.0,2458000000.0,-942000000.0,-809000000.0,-1528000000.0,,
Change In Other Working Capital,,,-377000000.0,-190000000.0,-558000000.0,-218000000.0,-492000000.0
Change In Payables And Accrued Expense,648000000.0,1124000000.0,-509000000.0,-509000000.0,-648000000.0,,
Change In Payable,648000000.0,1124000000.0,-509000000.0,-509000000.0,-648000000.0,,
Change In Account Payable,648000000.0,1124000000.0,-509000000.0,-509000000.0,-648000000.0,,
Change In Inventory,-303000000.0,85000000.0,-239000000.0,18000000.0,-188000000.0,,
Change In Receivables,-305000000.0,124000000.0,183000000.0,-128000000.0,-134000000.0,,
Changes In Account Receivables,-305000000.0,124000000.0,183000000.0,-128000000.0,-134000000.0,,
Other Non Cash Items,-345000000.0,-1873000000.0,84000000.0,103000000.0,32000000.0,,
Stock Based Compensation,121000000.0,112000000.0,123000000.0,136000000.0,105000000.0,,
Asset Impairment Charge,,0.0,0.0,,,0.0,0.0
Deferred Tax,53000000.0,-34000000.0,-38000000.0,37000000.0,184000000.0,,
Deferred Income Tax,53000000.0,-34000000.0,-38000000.0,37000000.0,184000000.0,,
Depreciation Amortization Depletion,761000000.0,723000000.0,690000000.0,706000000.0,728000000.0,,
Depreciation And Amortization,761000000.0,723000000.0,690000000.0,706000000.0,728000000.0,,
Operating Gains Losses,-3000000.0,-27000000.0,-5000000.0,-7000000.0,794000000.0,,
Net Income From Continuing Operations,4781000000.0,3626000000.0,3793000000.0,4659000000.0,3987000000.0,,
