,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-03-31
Free Cash Flow,-869000000.0,-11216000000.0,-11037000000.0,8904000000.0,4206000000.0,
Repurchase Of Capital Stock,-6000000000.0,-5016000000.0,-3500000000.0,-4000000000.0,-3435000000.0,
Repayment Of Debt,-9344000000.0,-12324000000.0,-9618000000.0,-6806000000.0,-7836000000.0,
Issuance Of Debt,10756000000.0,12015000000.0,7340000000.0,4140000000.0,4178000000.0,
Issuance Of Capital Stock,,,,0.0,,
Interest Paid Supplemental Data,9966000000.0,9938000000.0,9791000000.0,10532000000.0,11535000000.0,
Income Tax Paid Supplemental Data,209000000.0,514000000.0,120000000.0,1558000000.0,,
End Cash Position,172516000000.0,193133000000.0,176178000000.0,201902000000.0,184128000000.0,
Beginning Cash Position,193133000000.0,176178000000.0,201902000000.0,184128000000.0,230780000000.0,
Changes In Cash,-20617000000.0,16955000000.0,-25724000000.0,17774000000.0,-46652000000.0,
Financing Cash Flow,63117000000.0,20123000000.0,12821000000.0,9934000000.0,-29760000000.0,
Cash Flow From Continuing Financing Activities,63117000000.0,20123000000.0,12821000000.0,9934000000.0,-29760000000.0,
Net Other Financing Charges,72000000.0,-154000000.0,-728000000.0,-301000000.0,114000000.0,
Cash Dividends Paid,-1679000000.0,-1592000000.0,-1567000000.0,-1632000000.0,-1590000000.0,
Preferred Stock Dividend Paid,-248000000.0,-305000000.0,-249000000.0,-307000000.0,-233000000.0,
Common Stock Dividend Paid,-1431000000.0,-1287000000.0,-1318000000.0,-1325000000.0,-1357000000.0,
Net Preferred Stock Issuance,0.0,-2000000000.0,0.0,0.0,1997000000.0,
Preferred Stock Payments,0.0,-2000000000.0,0.0,0.0,0.0,
Preferred Stock Issuance,,,,0.0,,
Net Common Stock Issuance,-6000000000.0,-3016000000.0,-3500000000.0,-4000000000.0,-3435000000.0,
Common Stock Payments,-6000000000.0,-3016000000.0,-3500000000.0,-4000000000.0,-3435000000.0,
Net Issuance Payments Of Debt,44066000000.0,47910000000.0,28692000000.0,-6291000000.0,-10598000000.0,
Net Short Term Debt Issuance,42654000000.0,48219000000.0,30970000000.0,-3625000000.0,-6940000000.0,
Net Long Term Debt Issuance,1412000000.0,-309000000.0,-2278000000.0,-2666000000.0,-3658000000.0,
Long Term Debt Payments,-9344000000.0,-12324000000.0,-9618000000.0,-6806000000.0,-7836000000.0,
Long Term Debt Issuance,10756000000.0,12015000000.0,7340000000.0,4140000000.0,4178000000.0,
Investing Cash Flow,-82865000000.0,8048000000.0,-27508000000.0,-1064000000.0,-21098000000.0,
Cash Flow From Continuing Investing Activities,-82865000000.0,8048000000.0,-27508000000.0,-1064000000.0,-21098000000.0,
Net Other Investing Changes,-480000000.0,-715000000.0,1687000000.0,224000000.0,-509000000.0,
Net Investment Purchase And Sale,-12269000000.0,-1596000000.0,-5670000000.0,3569000000.0,-5513000000.0,
Sale Of Investment,15726000000.0,15245000000.0,13321000000.0,29865000000.0,29714000000.0,
Purchase Of Investment,-27995000000.0,-16841000000.0,-18991000000.0,-26296000000.0,-35227000000.0,
Operating Cash Flow,-869000000.0,-11216000000.0,-11037000000.0,8904000000.0,4206000000.0,
Cash Flow From Continuing Operating Activities,-869000000.0,-11216000000.0,-11037000000.0,8904000000.0,4206000000.0,
Change In Working Capital,-4952000000.0,-19257000000.0,-20945000000.0,6269000000.0,-7737000000.0,
Change In Other Working Capital,-29700000000.0,-9840000000.0,-10251000000.0,4019000000.0,-964000000.0,
Change In Other Current Assets,13833000000.0,-8296000000.0,-13037000000.0,4198000000.0,-6861000000.0,
Change In Payables And Accrued Expense,10915000000.0,-1121000000.0,2343000000.0,-1948000000.0,88000000.0,
Change In Accrued Expense,10915000000.0,-1121000000.0,2343000000.0,-1948000000.0,88000000.0,
Other Non Cash Items,-3635000000.0,313000000.0,2498000000.0,-5987000000.0,4312000000.0,
Asset Impairment Charge,35000000.0,76000000.0,239000000.0,-277000000.0,451000000.0,
Deferred Tax,-446000000.0,-768000000.0,-423000000.0,557000000.0,-838000000.0,
Deferred Income Tax,-446000000.0,-768000000.0,-423000000.0,557000000.0,-838000000.0,
Depreciation Amortization Depletion,1839000000.0,1893000000.0,1858000000.0,1984000000.0,1783000000.0,
Depreciation And Amortization,1839000000.0,1893000000.0,1858000000.0,1984000000.0,1783000000.0,
Depreciation,,,1858000000.0,,,1819000000.0
Net Income From Continuing Operations,5609000000.0,5522000000.0,4804000000.0,5263000000.0,5170000000.0,
