,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Free Cash Flow,1901000000.0,2329000000.0,1611000000.0,1996000000.0,1381000000.0,,
Repurchase Of Capital Stock,-280000000.0,-211000000.0,-205000000.0,-207000000.0,-216000000.0,,
Repayment Of Debt,-359000000.0,-266000000.0,-272000000.0,-215000000.0,-1385000000.0,,
Issuance Of Debt,200000000.0,246000000.0,237000000.0,133000000.0,300000000.0,,
Capital Expenditure,-1966000000.0,-1131000000.0,-1137000000.0,-1264000000.0,-1577000000.0,,
Interest Paid Supplemental Data,25000000.0,26000000.0,11000000.0,44000000.0,39000000.0,,
Income Tax Paid Supplemental Data,1269000000.0,850000000.0,397000000.0,401000000.0,870000000.0,,
End Cash Position,14161000000.0,13836000000.0,12356000000.0,10907000000.0,9906000000.0,,
Beginning Cash Position,13836000000.0,12356000000.0,10907000000.0,9906000000.0,10404000000.0,,
Effect Of Exchange Rate Changes,19000000.0,104000000.0,-36000000.0,-81000000.0,63000000.0,,
Changes In Cash,306000000.0,1376000000.0,1485000000.0,1082000000.0,-561000000.0,,
Financing Cash Flow,-1593000000.0,-748000000.0,-241000000.0,-1193000000.0,-1816000000.0,,
Cash Flow From Continuing Financing Activities,-1593000000.0,-748000000.0,-241000000.0,-1193000000.0,-1816000000.0,,
Net Other Financing Charges,-1000000.0,-2000000.0,-1000000.0,-389000000.0,-1000000.0,,
Cash Dividends Paid,-1153000000.0,-515000000.0,0.0,-515000000.0,-514000000.0,,
Common Stock Dividend Paid,,-515000000.0,0.0,-515000000.0,,-515000000.0,-7107000000.0
Net Common Stock Issuance,-280000000.0,-211000000.0,-205000000.0,-207000000.0,-216000000.0,,
Common Stock Payments,-280000000.0,-211000000.0,-205000000.0,-207000000.0,-216000000.0,,
Net Issuance Payments Of Debt,-159000000.0,-20000000.0,-35000000.0,-82000000.0,-1085000000.0,,
Net Short Term Debt Issuance,-27000000.0,0.0,42000000.0,-61000000.0,17000000.0,,
Short Term Debt Payments,-227000000.0,-246000000.0,-195000000.0,-194000000.0,-283000000.0,,
Short Term Debt Issuance,200000000.0,246000000.0,237000000.0,133000000.0,300000000.0,,
Net Long Term Debt Issuance,-132000000.0,-20000000.0,-77000000.0,-21000000.0,-1102000000.0,,
Long Term Debt Payments,-132000000.0,-20000000.0,-77000000.0,-21000000.0,-1102000000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-1968000000.0,-1336000000.0,-1022000000.0,-985000000.0,-1703000000.0,,
Cash Flow From Continuing Investing Activities,-1968000000.0,-1336000000.0,-1022000000.0,-985000000.0,-1703000000.0,,
Net Other Investing Changes,98000000.0,-11000000.0,2000000.0,-15000000.0,-12000000.0,,
Net Investment Purchase And Sale,-100000000.0,-194000000.0,113000000.0,294000000.0,-114000000.0,,
Sale Of Investment,355000000.0,34000000.0,211000000.0,541000000.0,349000000.0,,
Purchase Of Investment,-455000000.0,-228000000.0,-98000000.0,-247000000.0,-463000000.0,,
Net PPE Purchase And Sale,-1966000000.0,-1131000000.0,-1137000000.0,-1264000000.0,-1577000000.0,,
Purchase Of PPE,-1966000000.0,-1131000000.0,-1137000000.0,-1264000000.0,-1577000000.0,,
Operating Cash Flow,3867000000.0,3460000000.0,2748000000.0,3260000000.0,2958000000.0,,
Cash Flow From Continuing Operating Activities,3867000000.0,3460000000.0,2748000000.0,3260000000.0,2958000000.0,,
Change In Working Capital,350000000.0,764000000.0,199000000.0,451000000.0,-355000000.0,,
Change In Other Working Capital,-34000000.0,-635000000.0,1079000000.0,391000000.0,324000000.0,,
Change In Payables And Accrued Expense,-200000000.0,1062000000.0,-3059000000.0,2601000000.0,558000000.0,,
Change In Payable,-200000000.0,1062000000.0,-3059000000.0,2601000000.0,558000000.0,,
Change In Account Payable,-200000000.0,1062000000.0,-3059000000.0,2601000000.0,558000000.0,,
Change In Inventory,584000000.0,337000000.0,2179000000.0,-2541000000.0,-1237000000.0,,
Other Non Cash Items,110000000.0,135000000.0,,,95000000.0,44000000.0,24000000.0
Stock Based Compensation,140000000.0,106000000.0,151000000.0,463000000.0,132000000.0,,
Asset Impairment Charge,,,,,26000000.0,-28000000.0,-50000000.0
Depreciation Amortization Depletion,774000000.0,552000000.0,552000000.0,548000000.0,706000000.0,,
Depreciation And Amortization,774000000.0,552000000.0,552000000.0,548000000.0,706000000.0,,
Net Income From Continuing Operations,2610000000.0,1903000000.0,1788000000.0,1798000000.0,2354000000.0,,
