,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Preferred Shares Number,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,
Ordinary Shares Number,689000000.0,696000000.0,701109524.0,702000000.0,704000000.0,
Share Issued,689000000.0,696000000.0,701109524.0,702000000.0,704000000.0,
Net Debt,5765000000.0,1865000000.0,389000000.0,10537000000.0,7186000000.0,
Total Debt,59233000000.0,59695000000.0,52795000000.0,51089000000.0,55003000000.0,
Tangible Book Value,32417000000.0,32311000000.0,31202000000.0,25954000000.0,29707000000.0,
Invested Capital,91650000000.0,92006000000.0,83997000000.0,81353000000.0,84710000000.0,
Net Tangible Assets,32417000000.0,32311000000.0,31202000000.0,25954000000.0,29707000000.0,
Common Stock Equity,32417000000.0,32311000000.0,31202000000.0,30264000000.0,29707000000.0,
Total Capitalization,90204000000.0,90513000000.0,82438000000.0,79979000000.0,83253000000.0,
Total Equity Gross Minority Interest,32417000000.0,32311000000.0,31202000000.0,30264000000.0,29707000000.0,
Stockholders Equity,32417000000.0,32311000000.0,31202000000.0,30264000000.0,29707000000.0,
Gains Losses Not Affecting Retained Earnings,-3249000000.0,-3248000000.0,-3366000000.0,-3395000000.0,-3195000000.0,
Foreign Currency Translation Adjustments,-2798000000.0,-2792000000.0,-2907000000.0,-2924000000.0,-2706000000.0,
Minimum Pension Liabilities,-446000000.0,-450000000.0,-453000000.0,-462000000.0,-483000000.0,
Unrealized Gain Loss,-5000000.0,-6000000.0,-6000000.0,-9000000.0,-6000000.0,
Retained Earnings,24469000000.0,24367000000.0,23391000000.0,22148000000.0,21466000000.0,
Additional Paid In Capital,11059000000.0,11052000000.0,11037000000.0,11370000000.0,11295000000.0,
Capital Stock,138000000.0,140000000.0,140000000.0,141000000.0,141000000.0,
Common Stock,138000000.0,140000000.0,140000000.0,141000000.0,141000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,265133000000.0,263245000000.0,251042000000.0,241197000000.0,241272000000.0,
Employee Benefits,,,,2676000000.0,,
Non Current Deferred Liabilities,,,,4042000000.0,,
Non Current Deferred Revenue,,,,4042000000.0,,
Long Term Debt And Capital Lease Obligation,57787000000.0,58202000000.0,51236000000.0,49715000000.0,53546000000.0,
Long Term Debt,57787000000.0,58202000000.0,51236000000.0,49715000000.0,53546000000.0,
Current Debt And Capital Lease Obligation,1446000000.0,1493000000.0,1559000000.0,1374000000.0,1457000000.0,
Current Debt,1446000000.0,1493000000.0,1559000000.0,1374000000.0,1457000000.0,
Other Current Borrowings,1446000000.0,1493000000.0,1559000000.0,1374000000.0,1457000000.0,
Payables And Accrued Expenses,14708000000.0,14121000000.0,13564000000.0,17391000000.0,13162000000.0,
Current Accrued Expenses,,,,2121000000.0,,
Payables,14708000000.0,14121000000.0,13564000000.0,15270000000.0,13162000000.0,
Total Tax Payable,,,,1386000000.0,,
Income Tax Payable,,,,1386000000.0,,
Accounts Payable,14708000000.0,14121000000.0,13564000000.0,13884000000.0,13162000000.0,
Total Assets,297550000000.0,295556000000.0,282244000000.0,271461000000.0,270979000000.0,
Investments And Advances,1374000000.0,1258000000.0,1110000000.0,1240000000.0,1268000000.0,
Available For Sale Securities,235000000.0,270000000.0,1110000000.0,287000000.0,401000000.0,
Goodwill And Other Intangible Assets,,,,4310000000.0,,
Other Intangible Assets,,,,123000000.0,,
Goodwill,,,,4187000000.0,,
Net PPE,5861000000.0,5662000000.0,5383000000.0,6175000000.0,5308000000.0,
Accumulated Depreciation,-11754000000.0,-11369000000.0,-11130000000.0,-10739000000.0,-10867000000.0,
Gross PPE,17615000000.0,17031000000.0,16513000000.0,16914000000.0,16175000000.0,
Other Properties,,,,16914000000.0,,
Other Short Term Investments,1139000000.0,988000000.0,,953000000.0,867000000.0,814000000.0
Cash And Cash Equivalents,53468000000.0,57830000000.0,52406000000.0,40552000000.0,47817000000.0,
Cash Equivalents,38000000.0,101000000.0,173000000.0,139000000.0,32000000.0,
Cash Financial,3229000000.0,3109000000.0,3010000000.0,3407000000.0,3192000000.0,
Cash Cash Equivalents And Federal Funds Sold,54706000000.0,57937000000.0,52508000000.0,40640000000.0,47918000000.0,
