,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,1901000000.0,1729000000.0,727000000.0,1091000000.0,496000000.0,,
Repurchase Of Capital Stock,-460000000.0,-524000000.0,-779000000.0,-298000000.0,-710000000.0,,
Repayment Of Debt,0.0,,,0.0,0.0,,
Issuance Of Debt,0.0,0.0,2441000000.0,,,0.0,0.0
Capital Expenditure,-258000000.0,-282000000.0,-212000000.0,-208000000.0,-132000000.0,,
Income Tax Paid Supplemental Data,,632000000.0,128000000.0,375000000.0,700000000.0,224000000.0,
End Cash Position,4825000000.0,4453000000.0,6059000000.0,3811000000.0,3897000000.0,,
Beginning Cash Position,4453000000.0,6059000000.0,3811000000.0,3897000000.0,4113000000.0,,
Changes In Cash,372000000.0,-1606000000.0,2248000000.0,-86000000.0,-216000000.0,,
Financing Cash Flow,-450000000.0,-1319000000.0,1666000000.0,-171000000.0,-706000000.0,,
Cash Flow From Continuing Financing Activities,-450000000.0,-1319000000.0,1666000000.0,-171000000.0,-706000000.0,,
Net Other Financing Charges,,,,0.0,0.0,0.0,-1000000.0
Proceeds From Stock Option Exercised,10000000.0,155000000.0,4000000.0,127000000.0,4000000.0,,
Net Common Stock Issuance,-460000000.0,-524000000.0,-779000000.0,-298000000.0,-710000000.0,,
Common Stock Payments,-460000000.0,-524000000.0,-779000000.0,-298000000.0,-710000000.0,,
Net Issuance Payments Of Debt,0.0,-950000000.0,2441000000.0,0.0,0.0,,
Net Short Term Debt Issuance,,,947000000.0,,,,0.0
Short Term Debt Issuance,,,947000000.0,,,,0.0
Net Long Term Debt Issuance,0.0,-3000000.0,1494000000.0,0.0,0.0,,
Long Term Debt Payments,0.0,,,0.0,0.0,,
Long Term Debt Issuance,0.0,947000000.0,1494000000.0,,,0.0,0.0
Investing Cash Flow,-1337000000.0,-2298000000.0,-357000000.0,-1214000000.0,-138000000.0,,
Cash From Discontinued Investing Activities,-8000000.0,,,,,,
Cash Flow From Continuing Investing Activities,-1329000000.0,-2276000000.0,-357000000.0,-1214000000.0,-138000000.0,,
Net Other Investing Changes,,,,31000000.0,-131000000.0,1000000.0,1000000.0
Net Investment Purchase And Sale,-1071000000.0,-278000000.0,-145000000.0,-1037000000.0,690000000.0,,
Sale Of Investment,317000000.0,333000000.0,398000000.0,90000000.0,738000000.0,,
Purchase Of Investment,-1388000000.0,-611000000.0,-543000000.0,-1127000000.0,-48000000.0,,
Net Business Purchase And Sale,0.0,,,0.0,-565000000.0,,
Purchase Of Business,0.0,,,0.0,-565000000.0,,
Net PPE Purchase And Sale,-258000000.0,-282000000.0,-212000000.0,-208000000.0,-132000000.0,,
Purchase Of PPE,-258000000.0,-282000000.0,-212000000.0,-208000000.0,-132000000.0,,
Operating Cash Flow,2159000000.0,2011000000.0,939000000.0,1299000000.0,628000000.0,,
Cash From Discontinued Operating Activities,371000000.0,,,,,,
Cash Flow From Continuing Operating Activities,1788000000.0,1462000000.0,939000000.0,1299000000.0,628000000.0,,
Change In Working Capital,-708000000.0,464000000.0,-748000000.0,-70000000.0,-660000000.0,,
Change In Other Working Capital,,,,30000000.0,36000000.0,-11000000.0,53000000.0
Change In Payables And Accrued Expense,895000000.0,535000000.0,-577000000.0,-328000000.0,1138000000.0,,
Change In Accrued Expense,444000000.0,-301000000.0,-288000000.0,257000000.0,363000000.0,,
Change In Payable,451000000.0,836000000.0,-289000000.0,-585000000.0,775000000.0,,
Change In Account Payable,451000000.0,836000000.0,-289000000.0,-585000000.0,775000000.0,,
Change In Prepaid Assets,118000000.0,-140000000.0,-237000000.0,593000000.0,624000000.0,,
Change In Inventory,-636000000.0,-261000000.0,-682000000.0,-362000000.0,-386000000.0,,
Change In Receivables,-1085000000.0,330000000.0,748000000.0,-3000000.0,-2114000000.0,,
Changes In Account Receivables,-1085000000.0,330000000.0,748000000.0,-3000000.0,-2114000000.0,,
Other Non Cash Items,-67000000.0,-10000000.0,39000000.0,62000000.0,-65000000.0,,
Stock Based Compensation,419000000.0,369000000.0,364000000.0,339000000.0,351000000.0,,
Deferred Tax,218000000.0,-886000000.0,-167000000.0,-300000000.0,-607000000.0,,
Deferred Income Tax,218000000.0,-886000000.0,-167000000.0,-300000000.0,-607000000.0,,
Depreciation Amortization Depletion,754000000.0,757000000.0,742000000.0,786000000.0,838000000.0,,
Depreciation And Amortization,754000000.0,757000000.0,742000000.0,786000000.0,838000000.0,,
Amortization Cash Flow,562000000.0,568000000.0,567000000.0,,,603000000.0,622000000.0
Amortization Of Intangibles,562000000.0,568000000.0,567000000.0,,,603000000.0,622000000.0
Depreciation,192000000.0,189000000.0,175000000.0,-1607000000.0,2063000000.0,,
Net Income From Continuing Operations,1172000000.0,768000000.0,709000000.0,482000000.0,771000000.0,,
