,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,17296000.0,17784000.0,17459000.0,-108801128.349788,30070000.0
Tax Rate For Calcs,0.184,0.228,0.221,0.190879,0.194
Normalized EBITDA,2730000000.0,2758000000.0,2578000000.0,3845000000.0,2890000000.0
Total Unusual Items,94000000.0,78000000.0,79000000.0,-570000000.0,155000000.0
Total Unusual Items Excluding Goodwill,94000000.0,78000000.0,79000000.0,-570000000.0,155000000.0
Net Income From Continuing Operation Net Minority Interest,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Reconciled Depreciation,926000000.0,936000000.0,912000000.0,919000000.0,905000000.0
Reconciled Cost Of Revenue,17929000000.0,17441000000.0,17866000000.0,20041000000.0,18533000000.0
EBITDA,2824000000.0,2836000000.0,2657000000.0,3275000000.0,3045000000.0
EBIT,1898000000.0,1900000000.0,1745000000.0,2356000000.0,2140000000.0
Net Interest Income,-291000000.0,-238000000.0,-222000000.0,-229000000.0,-230000000.0
Interest Expense,291000000.0,238000000.0,222000000.0,229000000.0,230000000.0
Normalized Income,1234296000.0,1222784000.0,1125459000.0,2182198871.650212,1414070000.0
Net Income From Continuing And Discontinued Operation,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Total Expenses,19611000000.0,19399000000.0,19880000000.0,22375000000.0,20260000000.0
Rent Expense Supplemental,548000000.0,544000000.0,607000000.0,544000000.0,517000000.0
Total Operating Income As Reported,1804000000.0,1822000000.0,1666000000.0,2926000000.0,1985000000.0
Diluted Average Shares,848000000.0,847000000.0,850000000.0,858000000.0,855000000.0
Basic Average Shares,848000000.0,847000000.0,850000000.0,854000000.0,855000000.0
Diluted EPS,1.55,1.51,1.4,2.01,1.8
Basic EPS,1.55,1.51,1.4,2.02,1.8
Diluted NI Availto Com Stockholders,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Net Income Common Stockholders,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Net Income,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Net Income Including Noncontrolling Interests,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Net Income Continuous Operations,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
Tax Provision,296000000.0,379000000.0,336000000.0,406000000.0,371000000.0
Pretax Income,1607000000.0,1662000000.0,1523000000.0,2127000000.0,1910000000.0
Other Income Expense,94000000.0,78000000.0,79000000.0,-570000000.0,155000000.0
Gain On Sale Of Security,94000000.0,78000000.0,79000000.0,-570000000.0,155000000.0
Net Non Operating Interest Income Expense,-291000000.0,-238000000.0,-222000000.0,-229000000.0,-230000000.0
Interest Expense Non Operating,291000000.0,238000000.0,222000000.0,229000000.0,230000000.0
Operating Income,1804000000.0,1822000000.0,1666000000.0,2926000000.0,1985000000.0
Operating Expense,1682000000.0,1958000000.0,2014000000.0,2334000000.0,1727000000.0
Other Operating Expenses,1682000000.0,1958000000.0,2014000000.0,2334000000.0,1727000000.0
Gross Profit,3486000000.0,3780000000.0,3680000000.0,5260000000.0,3712000000.0
Cost Of Revenue,17929000000.0,17441000000.0,17866000000.0,20041000000.0,18533000000.0
Total Revenue,21415000000.0,21221000000.0,21546000000.0,25301000000.0,22245000000.0
Operating Revenue,21415000000.0,21221000000.0,21546000000.0,25301000000.0,22245000000.0
