,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-03-31
Tax Effect Of Unusual Items,79380.030927,2298442.34135,-12758970.0,-1979670.0,-239847.845163,
Tax Rate For Calcs,0.021056,0.05172,0.21,0.21,0.004743,
Normalized EBITDA,1331574000.0,1234710000.0,1113622000.0,1337292000.0,1168178000.0,
Total Unusual Items,3770000.0,44440000.0,-60757000.0,-9427000.0,-50573000.0,
Total Unusual Items Excluding Goodwill,3770000.0,44440000.0,-60757000.0,-9427000.0,-50573000.0,
Net Income From Continuing Operation Net Minority Interest,607008000.0,556967000.0,414533000.0,668065000.0,475995000.0,
Reconciled Depreciation,374744000.0,367638000.0,355647000.0,360599000.0,341905000.0,
Reconciled Cost Of Revenue,254701000.0,216551000.0,246819000.0,238766000.0,236592000.0,
EBITDA,1335344000.0,1279150000.0,1052865000.0,1327865000.0,1117605000.0,
EBIT,960600000.0,911512000.0,697218000.0,967266000.0,775700000.0,
Net Interest Income,-242790000.0,-232724000.0,-226995000.0,-227415000.0,-226424000.0,
Interest Expense,242790000.0,232724000.0,226995000.0,227415000.0,226424000.0,
Normalized Income,603317380.030927,514825442.34135,462531030.0,675512330.0,526328152.154837,
Net Income From Continuing And Discontinued Operation,607008000.0,556967000.0,414533000.0,668065000.0,475995000.0,
Total Expenses,788658000.0,754262000.0,745396000.0,746486000.0,712941000.0,
Total Operating Income As Reported,812914000.0,744197000.0,727616000.0,835746000.0,767769000.0,
Diluted Average Shares,326485607.0,326487000.0,326313000.0,326278000.0,326158000.0,
Basic Average Shares,326485607.0,326487000.0,326313000.0,326278000.0,326158000.0,
Diluted EPS,1.86,1.7,1.27,2.04,1.46,
Basic EPS,1.86,1.7,1.27,2.04,1.46,
Diluted NI Availto Com Stockholders,606174000.0,556133000.0,413699000.0,667231000.0,475161000.0,
Net Income Common Stockholders,606174000.0,556133000.0,413699000.0,667231000.0,475161000.0,
Preferred Stock Dividends,834000.0,834000.0,834000.0,834000.0,834000.0,
Net Income,607008000.0,556967000.0,414533000.0,668065000.0,475995000.0,
Minority Interests,-95688000.0,-86714000.0,-63327000.0,-103694000.0,-70676000.0,
Net Income Including Noncontrolling Interests,702696000.0,643681000.0,477860000.0,771759000.0,546671000.0,
Net Income Continuous Operations,702696000.0,643681000.0,477860000.0,771759000.0,546671000.0,
Tax Provision,15114000.0,35107000.0,-7637000.0,-31908000.0,2605000.0,
Pretax Income,717810000.0,678788000.0,470223000.0,739851000.0,549276000.0,
Other Income Expense,147686000.0,167315000.0,-30398000.0,131520000.0,7931000.0,
Special Income Charges,10398000.0,-9604000.0,-23992000.0,-46167000.0,-1228000.0,
Gain On Sale Of Business,,,-23992000.0,36403000.0,0.0,414769000.0
Restructuring And Mergern Acquisition,-10398000.0,9604000.0,0.0,82570000.0,1228000.0,
Earnings From Equity Interest,143916000.0,122875000.0,30359000.0,140947000.0,58504000.0,
Gain On Sale Of Security,-6628000.0,54044000.0,-36765000.0,36740000.0,-49345000.0,
Net Non Operating Interest Income Expense,-242790000.0,-232724000.0,-226995000.0,-227415000.0,-226424000.0,
Interest Expense Non Operating,242790000.0,232724000.0,226995000.0,227415000.0,226424000.0,
Operating Income,812914000.0,744197000.0,727616000.0,835746000.0,767769000.0,
Operating Expense,497852000.0,509131000.0,470981000.0,474712000.0,454809000.0,
Other Operating Expenses,104477000.0,119465000.0,96044000.0,88014000.0,91135000.0,
Depreciation Amortization Depletion Income Statement,338639000.0,339058000.0,328051000.0,327591000.0,320365000.0,
Depreciation And Amortization In Income Statement,338639000.0,339058000.0,328051000.0,327591000.0,320365000.0,
Selling General And Administration,54736000.0,50608000.0,46886000.0,59107000.0,43309000.0,
Selling And Marketing Expense,38645000.0,36310000.0,34257000.0,43505000.0,34138000.0,
General And Administrative Expense,16091000.0,14298000.0,12629000.0,15602000.0,9171000.0,
Other Gand A,16091000.0,14298000.0,12629000.0,15602000.0,9171000.0,
Gross Profit,1310766000.0,1253328000.0,1198597000.0,1310458000.0,1222578000.0,
Cost Of Revenue,290806000.0,245131000.0,274415000.0,271774000.0,258132000.0,
Total Revenue,1601572000.0,1498459000.0,1473012000.0,1582232000.0,1480710000.0,
Operating Revenue,1489855000.0,1417385000.0,1401220000.0,1468671000.0,1373285000.0,
