,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-567000000.0,-333718146.718147,-55440000.0,-334530000.0,-19750000.0,,
Tax Rate For Calcs,0.21,0.394466,0.22,0.21,0.25,,
Normalized EBITDA,6216000000.0,5190000000.0,4652000000.0,2128000000.0,4962000000.0,,
Total Unusual Items,-2700000000.0,-846000000.0,-252000000.0,-1593000000.0,-79000000.0,,
Total Unusual Items Excluding Goodwill,-2700000000.0,-846000000.0,-252000000.0,-1593000000.0,-79000000.0,,
Net Income From Continuing Operation Net Minority Interest,186000000.0,938000000.0,1286000000.0,-22000000.0,1561000000.0,,
Reconciled Depreciation,2063000000.0,2050000000.0,2039000000.0,2102000000.0,2079000000.0,,
Reconciled Cost Of Revenue,5304000000.0,4346000000.0,4002000000.0,4396000000.0,4212000000.0,,
EBITDA,3516000000.0,4344000000.0,4400000000.0,535000000.0,4883000000.0,,
EBIT,1453000000.0,2294000000.0,2361000000.0,-1567000000.0,2804000000.0,,
Net Interest Income,-667000000.0,-678000000.0,-627000000.0,-610000000.0,-591000000.0,,
Interest Expense,739000000.0,740000000.0,700000000.0,702000000.0,720000000.0,,
Interest Income,72000000.0,62000000.0,73000000.0,92000000.0,129000000.0,,
Normalized Income,2319000000.0,1450281853.281853,1482560000.0,1236470000.0,1620250000.0,,
Net Income From Continuing And Discontinued Operation,186000000.0,938000000.0,1286000000.0,-22000000.0,1561000000.0,,
Total Expenses,11192000000.0,9706000000.0,9362000000.0,15018000000.0,10547000000.0,,
Total Operating Income As Reported,1904000000.0,4894000000.0,3733000000.0,-1490000000.0,3831000000.0,,
Diluted Average Shares,1772000000.0,1771000000.0,1772000000.0,1769000000.0,1772000000.0,,
Basic Average Shares,1767349878.0,1766461114.0,1766288379.0,1765256986.0,1767104613.0,,
Diluted EPS,0.1,0.52,0.72,-0.02,0.88,,
Basic EPS,0.105242,0.531005,0.72808,-0.012463,0.883366,,
Diluted NI Availto Com Stockholders,176000000.0,928000000.0,1276000000.0,-32000000.0,1551000000.0,,
Net Income Common Stockholders,176000000.0,928000000.0,1276000000.0,-32000000.0,1551000000.0,,
Otherunder Preferred Stock Dividend,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,
Net Income,186000000.0,938000000.0,1286000000.0,-22000000.0,1561000000.0,,
Minority Interests,-2000000.0,-3000000.0,-3000000.0,1000000.0,-3000000.0,,
Net Income Including Noncontrolling Interests,188000000.0,941000000.0,1289000000.0,-23000000.0,1564000000.0,,
Net Income Continuous Operations,188000000.0,941000000.0,1289000000.0,-23000000.0,1564000000.0,,
Tax Provision,526000000.0,613000000.0,372000000.0,-2246000000.0,520000000.0,,
Pretax Income,714000000.0,1554000000.0,1661000000.0,-2269000000.0,2084000000.0,,
Other Income Expense,-3203000000.0,-3485000000.0,-1693000000.0,-1743000000.0,-1238000000.0,,
Other Non Operating Income Expenses,-503000000.0,-2639000000.0,-1441000000.0,-150000000.0,-1159000000.0,,
Special Income Charges,-2680000000.0,-823000000.0,-248000000.0,-1574000000.0,-82000000.0,,
Other Special Charges,2680000000.0,823000000.0,248000000.0,1574000000.0,82000000.0,,
Restructuring And Mergern Acquisition,,,,,,937000000.0,164000000.0
Gain On Sale Of Security,-20000000.0,-23000000.0,-4000000.0,-19000000.0,3000000.0,,
Net Non Operating Interest Income Expense,-667000000.0,-678000000.0,-627000000.0,-610000000.0,-591000000.0,,
Interest Expense Non Operating,739000000.0,740000000.0,700000000.0,702000000.0,720000000.0,,
Interest Income Non Operating,72000000.0,62000000.0,73000000.0,92000000.0,129000000.0,,
Operating Income,4584000000.0,5717000000.0,3981000000.0,84000000.0,3913000000.0,,
Operating Expense,5888000000.0,5360000000.0,5360000000.0,10622000000.0,6335000000.0,,
Other Operating Expenses,,-24000000.0,,,,,
Research And Development,2319000000.0,2131000000.0,2067000000.0,6774000000.0,2130000000.0,,
Selling General And Administration,3569000000.0,3253000000.0,3293000000.0,3855000000.0,4205000000.0,,
Gross Profit,10472000000.0,11077000000.0,9341000000.0,10706000000.0,10248000000.0,,
Cost Of Revenue,5304000000.0,4346000000.0,4002000000.0,4396000000.0,4212000000.0,,
Total Revenue,15776000000.0,15423000000.0,13343000000.0,15102000000.0,14460000000.0,,
Operating Revenue,15776000000.0,15423000000.0,13343000000.0,15102000000.0,14460000000.0,,
