,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-19440000.0,-389508000.0,-1495000.0,-293160000.0,-300720000.0,,
Tax Rate For Calcs,0.24,0.042,0.299,0.21,0.21,,
Normalized EBITDA,1373000000.0,1588000000.0,1483000000.0,1619000000.0,1624000000.0,,
Total Unusual Items,-81000000.0,-9274000000.0,-5000000.0,-1396000000.0,-1432000000.0,,
Total Unusual Items Excluding Goodwill,-81000000.0,-9274000000.0,-5000000.0,-1396000000.0,-1432000000.0,,
Net Income From Continuing Operation Net Minority Interest,615000000.0,-7824000000.0,712000000.0,2131000000.0,-290000000.0,,
Reconciled Depreciation,245000000.0,241000000.0,231000000.0,234000000.0,245000000.0,,
Reconciled Cost Of Revenue,4247000000.0,4169000000.0,3935000000.0,4331000000.0,4197000000.0,,
EBITDA,1292000000.0,-7686000000.0,1478000000.0,223000000.0,192000000.0,,
EBIT,1047000000.0,-7927000000.0,1247000000.0,-11000000.0,-53000000.0,,
Net Interest Income,-206000000.0,-212000000.0,-206000000.0,-207000000.0,-214000000.0,,
Interest Expense,240000000.0,240000000.0,229000000.0,227000000.0,230000000.0,,
Interest Income,34000000.0,28000000.0,23000000.0,20000000.0,16000000.0,,
Normalized Income,676560000.0,1060492000.0,715505000.0,3233840000.0,841280000.0,,
Net Income From Continuing And Discontinued Operation,615000000.0,-7824000000.0,712000000.0,2131000000.0,-290000000.0,,
Total Expenses,5177000000.0,5060000000.0,4803000000.0,5229000000.0,5056000000.0,,
Total Operating Income As Reported,1025000000.0,-7974000000.0,1196000000.0,-40000000.0,-101000000.0,,
Diluted Average Shares,1186000000.0,1185000000.0,1198000000.0,1207000000.0,1210000000.0,,
Basic Average Shares,1184000000.0,1185000000.0,1194000000.0,1203000000.0,1210000000.0,,
Diluted EPS,0.52,-6.6,0.59,1.76,-0.24,,
Basic EPS,0.52,-6.6,0.6,1.77,-0.24,,
Diluted NI Availto Com Stockholders,615000000.0,-7824000000.0,712000000.0,2131000000.0,-290000000.0,,
Net Income Common Stockholders,615000000.0,-7824000000.0,712000000.0,2131000000.0,-290000000.0,,
Net Income,615000000.0,-7824000000.0,712000000.0,2131000000.0,-290000000.0,,
Minority Interests,2000000.0,-1000000.0,-2000000.0,-1000000.0,0.0,,
Net Income Including Noncontrolling Interests,613000000.0,-7823000000.0,714000000.0,2132000000.0,-290000000.0,,
Net Income Continuous Operations,613000000.0,-7823000000.0,714000000.0,2132000000.0,-290000000.0,,
Tax Provision,194000000.0,-344000000.0,304000000.0,-2370000000.0,7000000.0,,
Pretax Income,807000000.0,-8167000000.0,1018000000.0,-238000000.0,-283000000.0,,
Other Income Expense,-47000000.0,-9247000000.0,28000000.0,-1378000000.0,-1396000000.0,,
Other Non Operating Income Expenses,34000000.0,27000000.0,33000000.0,18000000.0,36000000.0,,
Special Income Charges,-79000000.0,-9266000000.0,0.0,-1390000000.0,-1427000000.0,,
Gain On Sale Of Business,-44000000.0,0.0,0.0,-3000000.0,1000000.0,,
Impairment Of Capital Assets,35000000.0,9266000000.0,,1387000000.0,1428000000.0,854000000.0,
Gain On Sale Of Security,-2000000.0,-8000000.0,-5000000.0,-6000000.0,-5000000.0,,
Net Non Operating Interest Income Expense,-206000000.0,-212000000.0,-206000000.0,-207000000.0,-214000000.0,,
Interest Expense Non Operating,240000000.0,240000000.0,229000000.0,227000000.0,230000000.0,,
Interest Income Non Operating,34000000.0,28000000.0,23000000.0,20000000.0,16000000.0,,
Operating Income,1060000000.0,1292000000.0,1196000000.0,1347000000.0,1327000000.0,,
Operating Expense,930000000.0,891000000.0,868000000.0,898000000.0,859000000.0,,
Selling General And Administration,930000000.0,891000000.0,868000000.0,898000000.0,859000000.0,,
General And Administrative Expense,,,837000000.0,869000000.0,821000000.0,885000000.0,911000000.0
Other Gand A,,,868000000.0,898000000.0,859000000.0,918000000.0,941000000.0
Salaries And Wages,,,-31000000.0,-29000000.0,-38000000.0,-33000000.0,-30000000.0
Gross Profit,1990000000.0,2183000000.0,2064000000.0,2245000000.0,2186000000.0,,
Cost Of Revenue,4247000000.0,4169000000.0,3935000000.0,4331000000.0,4197000000.0,,
Total Revenue,6237000000.0,6352000000.0,5999000000.0,6576000000.0,6383000000.0,,
Operating Revenue,6237000000.0,6352000000.0,5999000000.0,6576000000.0,6383000000.0,,
