,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,385000000.0,-1478000000.0,-595000000.0,564000000.0,973000000.0,,
Repurchase Of Capital Stock,-545000000.0,0.0,0.0,-500000000.0,-200000000.0,,
Repayment Of Debt,-1552000000.0,-551000000.0,-216000000.0,-313000000.0,-926000000.0,,
Issuance Of Debt,1345000000.0,5063000000.0,614000000.0,451000000.0,2013000000.0,,
Capital Expenditure,-469000000.0,-406000000.0,-310000000.0,-489000000.0,-354000000.0,,
End Cash Position,1325000000.0,6812000000.0,3249000000.0,3328000000.0,2889000000.0,,
Beginning Cash Position,6812000000.0,3249000000.0,3328000000.0,2889000000.0,1201000000.0,,
Effect Of Exchange Rate Changes,-2000000.0,9000000.0,-4000000.0,9000000.0,6000000.0,,
Changes In Cash,-5485000000.0,3554000000.0,-75000000.0,430000000.0,1682000000.0,,
Financing Cash Flow,-917000000.0,4448000000.0,490000000.0,-466000000.0,764000000.0,,
Cash Flow From Continuing Financing Activities,-917000000.0,4448000000.0,490000000.0,-466000000.0,764000000.0,,
Net Other Financing Charges,-26000000.0,30000000.0,183000000.0,-24000000.0,-27000000.0,,
Cash Dividends Paid,-139000000.0,-94000000.0,-91000000.0,-91000000.0,-96000000.0,,
Common Stock Dividend Paid,,-94000000.0,-91000000.0,,,-96000000.0,-95000000.0
Net Common Stock Issuance,-545000000.0,0.0,0.0,-500000000.0,-200000000.0,,
Common Stock Payments,-545000000.0,0.0,0.0,-500000000.0,-200000000.0,,
Net Issuance Payments Of Debt,-207000000.0,4512000000.0,398000000.0,138000000.0,1087000000.0,,
Net Short Term Debt Issuance,-213000000.0,2211000000.0,453000000.0,130000000.0,-183000000.0,,
Short Term Debt Payments,-259000000.0,-550000000.0,-160000000.0,-312000000.0,-175000000.0,,
Short Term Debt Issuance,46000000.0,2761000000.0,613000000.0,442000000.0,-8000000.0,,
Net Long Term Debt Issuance,6000000.0,2301000000.0,-55000000.0,8000000.0,1270000000.0,,
Long Term Debt Payments,-1293000000.0,-1000000.0,-56000000.0,-1000000.0,-751000000.0,,
Long Term Debt Issuance,1299000000.0,2302000000.0,1000000.0,9000000.0,2021000000.0,,
Investing Cash Flow,-5422000000.0,178000000.0,-280000000.0,-157000000.0,-409000000.0,,
Cash Flow From Continuing Investing Activities,-5422000000.0,178000000.0,-280000000.0,-157000000.0,-409000000.0,,
Net Other Investing Changes,3000000.0,-2000000.0,67000000.0,-67000000.0,-1000000.0,,
Net Investment Purchase And Sale,-1308000000.0,152000000.0,-112000000.0,-190000000.0,-52000000.0,,
Sale Of Investment,387000000.0,507000000.0,343000000.0,219000000.0,185000000.0,,
Purchase Of Investment,-1695000000.0,-355000000.0,-455000000.0,-409000000.0,-237000000.0,,
Net Business Purchase And Sale,-3648000000.0,434000000.0,75000000.0,589000000.0,-2000000.0,,
Sale Of Business,474000000.0,472000000.0,100000000.0,627000000.0,3000000.0,,
Purchase Of Business,-4122000000.0,-38000000.0,-25000000.0,-38000000.0,-5000000.0,,
Capital Expenditure Reported,-469000000.0,-406000000.0,-310000000.0,-489000000.0,-354000000.0,,
Operating Cash Flow,854000000.0,-1072000000.0,-285000000.0,1053000000.0,1327000000.0,,
Cash Flow From Continuing Operating Activities,854000000.0,-1072000000.0,-285000000.0,1053000000.0,1327000000.0,,
Change In Working Capital,568000000.0,-1359000000.0,-586000000.0,319000000.0,1013000000.0,,
Change In Other Working Capital,33000000.0,-252000000.0,-29000000.0,13000000.0,241000000.0,,
Change In Other Current Assets,18000000.0,51000000.0,-35000000.0,-43000000.0,28000000.0,,
Change In Payables And Accrued Expense,7000000.0,-953000000.0,898000000.0,-152000000.0,-239000000.0,,
Change In Prepaid Assets,-27000000.0,-215000000.0,-39000000.0,61000000.0,58000000.0,,
Change In Inventory,462000000.0,-16000000.0,-1245000000.0,653000000.0,716000000.0,,
Change In Receivables,75000000.0,26000000.0,-136000000.0,-213000000.0,209000000.0,,
Changes In Account Receivables,75000000.0,26000000.0,-136000000.0,-213000000.0,209000000.0,,
Other Non Cash Items,11000000.0,62000000.0,25000000.0,17000000.0,-11000000.0,,
Stock Based Compensation,19000000.0,16000000.0,19000000.0,16000000.0,15000000.0,,
Asset Impairment Charge,,,,5000000.0,27000000.0,,
Deferred Tax,-108000000.0,-2000000.0,22000000.0,33000000.0,-16000000.0,,
Deferred Income Tax,-108000000.0,-2000000.0,22000000.0,33000000.0,-16000000.0,,
Depreciation Amortization Depletion,241000000.0,116000000.0,120000000.0,123000000.0,119000000.0,,
Operating Gains Losses,-58000000.0,-275000000.0,-89000000.0,-90000000.0,-62000000.0,,
Earnings Losses From Equity Investments,-8000000.0,-3000000.0,-5000000.0,-20000000.0,1000000.0,,
Gain Loss On Investment Securities,-7000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,-43000000.0,-124000000.0,-84000000.0,135000000.0,-64000000.0,,
Net Income From Continuing Operations,181000000.0,370000000.0,204000000.0,630000000.0,233000000.0,,
