,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1512000000.0,-775000000.0,1442000000.0,2217000000.0,655000000.0
Repurchase Of Capital Stock,0.0,0.0,-1000000000.0,0.0,-500000000.0
Repayment Of Debt,-83000000.0,-1030000000.0,-32000000.0,-543000000.0,-436000000.0
Issuance Of Debt,0.0,4128000000.0,25000000.0,0.0,0.0
Issuance Of Capital Stock,31000000.0,47000000.0,55000000.0,48000000.0,53000000.0
Capital Expenditure,-970000000.0,-1123000000.0,-876000000.0,-1098000000.0,-843000000.0
End Cash Position,6764000000.0,6194000000.0,4802000000.0,6112000000.0,5855000000.0
Beginning Cash Position,6194000000.0,4802000000.0,6112000000.0,5855000000.0,6319000000.0
Effect Of Exchange Rate Changes,-28000000.0,173000000.0,40000000.0,-154000000.0,77000000.0
Changes In Cash,598000000.0,1219000000.0,-1350000000.0,411000000.0,-551000000.0
Financing Cash Flow,-1428000000.0,1794000000.0,-2313000000.0,-1847000000.0,-2236000000.0
Cash Flow From Continuing Financing Activities,-1428000000.0,1794000000.0,-2313000000.0,-1847000000.0,-2236000000.0
Net Other Financing Charges,-28000000.0,-2000000.0,-13000000.0,-2000000.0,-5000000.0
Cash Dividends Paid,-1348000000.0,-1349000000.0,-1348000000.0,-1350000000.0,-1348000000.0
Common Stock Dividend Paid,-1348000000.0,-1349000000.0,-1348000000.0,-1350000000.0,-1348000000.0
Net Common Stock Issuance,31000000.0,47000000.0,-945000000.0,48000000.0,-447000000.0
Common Stock Payments,0.0,0.0,-1000000000.0,0.0,-500000000.0
Common Stock Issuance,31000000.0,47000000.0,55000000.0,48000000.0,53000000.0
Net Issuance Payments Of Debt,-83000000.0,3098000000.0,-7000000.0,-543000000.0,-436000000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,0.0
Net Long Term Debt Issuance,-83000000.0,3098000000.0,-7000000.0,-543000000.0,-436000000.0
Long Term Debt Payments,-83000000.0,-1030000000.0,-32000000.0,-543000000.0,-436000000.0
Long Term Debt Issuance,0.0,4128000000.0,25000000.0,0.0,0.0
Investing Cash Flow,-456000000.0,-923000000.0,-1355000000.0,-1057000000.0,187000000.0
Cash Flow From Continuing Investing Activities,-456000000.0,-923000000.0,-1355000000.0,-1057000000.0,187000000.0
Net Other Investing Changes,-4000000.0,4000000.0,-10000000.0,2000000.0,-22000000.0
Net Investment Purchase And Sale,24000000.0,171000000.0,-56000000.0,-1000000.0,10000000.0
Sale Of Investment,24000000.0,171000000.0,34000000.0,23000000.0,10000000.0
Purchase Of Investment,0.0,0.0,-90000000.0,-24000000.0,0.0
Net Business Purchase And Sale,494000000.0,25000000.0,-413000000.0,40000000.0,1042000000.0
Sale Of Business,494000000.0,26000000.0,65000000.0,45000000.0,1042000000.0
Purchase Of Business,0.0,-1000000.0,-478000000.0,-5000000.0,0.0
Capital Expenditure Reported,-970000000.0,-1123000000.0,-876000000.0,-1098000000.0,-843000000.0
Operating Cash Flow,2482000000.0,348000000.0,2318000000.0,3315000000.0,1498000000.0
Cash Flow From Continuing Operating Activities,2482000000.0,348000000.0,2318000000.0,3315000000.0,1498000000.0
Change In Working Capital,641000000.0,-1390000000.0,-8000000.0,-439000000.0,263000000.0
Change In Other Current Liabilities,381000000.0,-1210000000.0,301000000.0,324000000.0,284000000.0
Change In Other Current Assets,60000000.0,-147000000.0,7000000.0,-46000000.0,43000000.0
Change In Payables And Accrued Expense,-114000000.0,387000000.0,-1276000000.0,1244000000.0,67000000.0
Change In Accrued Expense,245000000.0,-77000000.0,-370000000.0,153000000.0,211000000.0
Change In Payable,-359000000.0,464000000.0,-906000000.0,1091000000.0,-144000000.0
Change In Account Payable,-359000000.0,464000000.0,-906000000.0,1091000000.0,-144000000.0
Change In Receivables,314000000.0,-420000000.0,960000000.0,-1961000000.0,-131000000.0
Changes In Account Receivables,314000000.0,-420000000.0,960000000.0,-1961000000.0,-131000000.0
Other Non Cash Items,-210000000.0,-3000000.0,55000000.0,244000000.0,-162000000.0
Stock Based Compensation,25000000.0,-5000000.0,21000000.0,45000000.0,-24000000.0
Provisionand Write Offof Assets,-93000000.0,168000000.0,1000000.0,30000000.0,53000000.0
Deferred Tax,50000000.0,-44000000.0,-40000000.0,-39000000.0,-48000000.0
Deferred Income Tax,50000000.0,-44000000.0,-40000000.0,-39000000.0,-48000000.0
Depreciation Amortization Depletion,926000000.0,936000000.0,912000000.0,919000000.0,905000000.0
Depreciation And Amortization,926000000.0,936000000.0,912000000.0,919000000.0,905000000.0
Operating Gains Losses,-168000000.0,-597000000.0,190000000.0,834000000.0,-1028000000.0
Pension And Employee Benefit Expense,-168000000.0,-597000000.0,190000000.0,834000000.0,-1028000000.0
Net Income From Continuing Operations,1311000000.0,1283000000.0,1187000000.0,1721000000.0,1539000000.0
