,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,261627.906977,964285.714286,2100000.0,-2520000.0,1933333.333333
Tax Rate For Calcs,0.052326,0.107143,0.21,0.21,0.066667
Normalized EBITDA,423000000.0,496000000.0,493000000.0,371000000.0,317000000.0
Total Unusual Items,5000000.0,9000000.0,10000000.0,-12000000.0,29000000.0
Total Unusual Items Excluding Goodwill,5000000.0,9000000.0,10000000.0,-12000000.0,29000000.0
Net Income From Continuing Operation Net Minority Interest,161000000.0,221000000.0,248000000.0,108000000.0,82000000.0
Reconciled Depreciation,196000000.0,195000000.0,196000000.0,197000000.0,197000000.0
Reconciled Cost Of Revenue,655000000.0,723000000.0,728000000.0,665000000.0,646000000.0
EBITDA,428000000.0,505000000.0,503000000.0,359000000.0,346000000.0
EBIT,232000000.0,310000000.0,307000000.0,162000000.0,149000000.0
Net Interest Income,-53000000.0,-51000000.0,-49000000.0,-48000000.0,-48000000.0
Interest Expense,60000000.0,58000000.0,57000000.0,59000000.0,59000000.0
Interest Income,7000000.0,7000000.0,8000000.0,11000000.0,11000000.0
Normalized Income,156261627.906977,212964285.714286,240100000.0,117480000.0,54933333.333333
Net Income From Continuing And Discontinued Operation,161000000.0,221000000.0,248000000.0,108000000.0,82000000.0
Total Expenses,1235000000.0,1318000000.0,1319000000.0,1259000000.0,1213000000.0
Total Operating Income As Reported,101000000.0,277000000.0,285000000.0,157000000.0,135000000.0
Diluted Average Shares,689500000.0,693900000.0,698300000.0,700900000.0,702400000.0
Basic Average Shares,687500000.0,692500000.0,697800000.0,699000000.0,700900000.0
Diluted EPS,0.23,0.32,0.35,0.15,0.12
Basic EPS,0.23,0.32,0.35,0.15,0.12
Diluted NI Availto Com Stockholders,161000000.0,221000000.0,248000000.0,108000000.0,82000000.0
Net Income Common Stockholders,161000000.0,221000000.0,248000000.0,108000000.0,82000000.0
Net Income,161000000.0,221000000.0,248000000.0,108000000.0,82000000.0
Minority Interests,-2000000.0,-4000000.0,-3000000.0,-1000000.0,-2000000.0
Net Income Including Noncontrolling Interests,163000000.0,225000000.0,251000000.0,109000000.0,84000000.0
Net Income Continuous Operations,163000000.0,225000000.0,251000000.0,109000000.0,84000000.0
Tax Provision,9000000.0,27000000.0,-1000000.0,-6000000.0,6000000.0
Pretax Income,172000000.0,252000000.0,250000000.0,103000000.0,90000000.0
Other Income Expense,129000000.0,35000000.0,24000000.0,-18000000.0,32000000.0
Other Non Operating Income Expenses,122000000.0,22000000.0,4000000.0,,1000000.0
Special Income Charges,5000000.0,9000000.0,10000000.0,-12000000.0,29000000.0
Other Special Charges,-5000000.0,-9000000.0,-10000000.0,12000000.0,-29000000.0
Earnings From Equity Interest,2000000.0,4000000.0,10000000.0,-5000000.0,2000000.0
Net Non Operating Interest Income Expense,-53000000.0,-51000000.0,-49000000.0,-48000000.0,-48000000.0
Interest Expense Non Operating,60000000.0,58000000.0,57000000.0,59000000.0,59000000.0
Interest Income Non Operating,7000000.0,7000000.0,8000000.0,11000000.0,11000000.0
Operating Income,96000000.0,268000000.0,275000000.0,169000000.0,106000000.0
Operating Expense,580000000.0,595000000.0,591000000.0,594000000.0,567000000.0
Other Operating Expenses,357000000.0,375000000.0,364000000.0,361000000.0,345000000.0
Depreciation Amortization Depletion Income Statement,196000000.0,195000000.0,196000000.0,197000000.0,197000000.0
Depreciation And Amortization In Income Statement,196000000.0,195000000.0,196000000.0,197000000.0,197000000.0
Selling General And Administration,27000000.0,25000000.0,31000000.0,36000000.0,25000000.0
General And Administrative Expense,27000000.0,25000000.0,31000000.0,36000000.0,25000000.0
Other Gand A,22000000.0,20000000.0,25000000.0,29000000.0,19000000.0
Salaries And Wages,5000000.0,5000000.0,6000000.0,7000000.0,6000000.0
Gross Profit,676000000.0,863000000.0,866000000.0,763000000.0,673000000.0
Cost Of Revenue,655000000.0,723000000.0,728000000.0,665000000.0,646000000.0
Total Revenue,1331000000.0,1586000000.0,1594000000.0,1428000000.0,1319000000.0
Operating Revenue,1190000000.0,1427000000.0,1441000000.0,1294000000.0,1190000000.0
