,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,1513000000.0,3993000000.0,-633000000.0,-170000000.0,919000000.0,,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0,,
Repayment Of Debt,,,,-1000000.0,0.0,0.0,0.0
Issuance Of Debt,,,,27000000.0,0.0,,
Capital Expenditure,-296000000.0,-305000000.0,-291000000.0,-492000000.0,-381000000.0,,
End Cash Position,5875000000.0,5944000000.0,4056000000.0,3924000000.0,4397000000.0,,
Beginning Cash Position,5944000000.0,4056000000.0,3924000000.0,4397000000.0,4271000000.0,,
Effect Of Exchange Rate Changes,-7000000.0,18000000.0,16000000.0,-30000000.0,20000000.0,,
Changes In Cash,-62000000.0,1870000000.0,116000000.0,-443000000.0,106000000.0,,
Financing Cash Flow,-1618000000.0,-2166000000.0,587000000.0,-65000000.0,-804000000.0,,
Cash Flow From Continuing Financing Activities,-1618000000.0,-2166000000.0,587000000.0,-65000000.0,-804000000.0,,
Net Other Financing Charges,2000000.0,2000000.0,-29000000.0,-23000000.0,19000000.0,,
Cash Dividends Paid,-248000000.0,-248000000.0,-247000000.0,-241000000.0,-241000000.0,,
Common Stock Dividend Paid,-248000000.0,,,-241000000.0,-241000000.0,-246000000.0,-257000000.0
Net Common Stock Issuance,0.0,0.0,0.0,0.0,0.0,,
Common Stock Payments,0.0,0.0,0.0,0.0,0.0,,
Net Issuance Payments Of Debt,-1372000000.0,-1920000000.0,863000000.0,199000000.0,-582000000.0,,
Net Short Term Debt Issuance,-609000000.0,,,173000000.0,-581000000.0,589000000.0,1619000000.0
Net Long Term Debt Issuance,,,863000000.0,26000000.0,0.0,-1619000000.0,1619000000.0
Long Term Debt Payments,,,,-1000000.0,0.0,0.0,0.0
Long Term Debt Issuance,,,,27000000.0,0.0,,
Investing Cash Flow,-253000000.0,-262000000.0,-129000000.0,-700000000.0,-390000000.0,,
Cash Flow From Continuing Investing Activities,-253000000.0,-262000000.0,-129000000.0,-700000000.0,-390000000.0,,
Net Other Investing Changes,142000000.0,-66000000.0,15000000.0,21000000.0,927000000.0,,
Net Investment Purchase And Sale,9000000.0,19000000.0,237000000.0,-224000000.0,0.0,,
Sale Of Investment,9000000.0,19000000.0,248000000.0,,0.0,0.0,
Purchase Of Investment,0.0,0.0,-11000000.0,-308000000.0,0.0,,
Net Business Purchase And Sale,,,-90000000.0,-5000000.0,-972000000.0,907000000.0,-915000000.0
Purchase Of Business,,,-90000000.0,-5000000.0,-972000000.0,907000000.0,-915000000.0
Capital Expenditure Reported,-296000000.0,-305000000.0,-291000000.0,-492000000.0,-381000000.0,,
Operating Cash Flow,1809000000.0,4298000000.0,-342000000.0,322000000.0,1300000000.0,,
Cash Flow From Continuing Operating Activities,1809000000.0,4298000000.0,-342000000.0,322000000.0,1300000000.0,,
Change In Working Capital,955000000.0,3504000000.0,-781000000.0,-619000000.0,651000000.0,,
Change In Other Working Capital,-1148000000.0,1041000000.0,220000000.0,-436000000.0,4000000.0,,
Change In Other Current Assets,-149000000.0,-304000000.0,263000000.0,-80000000.0,117000000.0,,
Change In Payables And Accrued Expense,1205000000.0,-100000000.0,-746000000.0,997000000.0,84000000.0,,
Change In Accrued Expense,-405000000.0,-153000000.0,-244000000.0,127000000.0,104000000.0,,
Change In Payable,1610000000.0,53000000.0,-502000000.0,870000000.0,-20000000.0,,
Change In Account Payable,520000000.0,-734000000.0,-423000000.0,699000000.0,-161000000.0,,
Change In Inventory,1013000000.0,2015000000.0,137000000.0,-1071000000.0,-210000000.0,,
Change In Receivables,34000000.0,852000000.0,-655000000.0,-29000000.0,656000000.0,,
Changes In Account Receivables,34000000.0,852000000.0,-655000000.0,-29000000.0,656000000.0,,
Other Non Cash Items,94000000.0,-10000000.0,-94000000.0,89000000.0,-109000000.0,,
Stock Based Compensation,21000000.0,22000000.0,50000000.0,0.0,-10000000.0,,
Asset Impairment Charge,232000000.0,105000000.0,0.0,2000000.0,507000000.0,,
Deferred Tax,5000000.0,-17000000.0,-42000000.0,-23000000.0,-15000000.0,,
Deferred Income Tax,5000000.0,-17000000.0,-42000000.0,-23000000.0,-15000000.0,,
Depreciation Amortization Depletion,296000000.0,291000000.0,287000000.0,287000000.0,288000000.0,,
Depreciation And Amortization,296000000.0,291000000.0,287000000.0,287000000.0,288000000.0,,
Amortization Cash Flow,62000000.0,,,,66000000.0,,
Amortization Of Intangibles,62000000.0,,,,66000000.0,,
Depreciation,234000000.0,,,,222000000.0,,
Operating Gains Losses,96000000.0,186000000.0,-54000000.0,25000000.0,-30000000.0,,
Earnings Losses From Equity Investments,143000000.0,10000000.0,-28000000.0,-29000000.0,-30000000.0,,
Gain Loss On Investment Securities,,,,75000000.0,3000000.0,-49000000.0,-69000000.0
Net Income From Continuing Operations,110000000.0,217000000.0,292000000.0,561000000.0,18000000.0,,
